"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"19","国泰君安","18,509","-3,447","申银万国","18,371","-1,957","天风期货","15,361","3,636"
"20","方正中期","18,266","-2,734","东吴期货","17,641","-1,007","华闻期货","14,584","-1,011"
"合计","","793,343","-127,395","","571,293","-16,851","","683,310","-31,872"
"品种：尿素UR     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","11,121","4,788","永安期货","7,875","390","永安期货","10,667","230"
"2","华泰期货","6,482","3,657","中信期货","5,541","2","银河期货","7,285","1,380"
"3","东兴期货","5,268","5,157","国投安信期货","4,011","16","建信期货","6,503","8"
"4","徽商期货","5,120","3,596","银河期货","3,461","264","倍特期货","4,371","-1,726"
"5","华安期货","4,436","3,373","一德期货","2,303","525","东航期货","3,639","-191"
"6","一德期货","3,885","-741","中信建投","2,197","267","一德期货","3,146","872"
"7","光大期货","3,500","1,776","鲁证期货","2,165","-99","创元期货","3,013","153"
"8","国泰君安","3,500","2,783","徽商期货","1,949","453","华泰期货","2,544","755"
"9","银河期货","3,494","3,068","国泰君安","1,903","335","方正中期","2,354","-241"
"10","方正中期","3,391","-222","兴证期货","1,845","-38","兴证期货","2,135","-21"
"11","东吴期货","3,253","2,668","浙商期货","1,789","449","中辉期货","1,881","337"
"12","永安期货","3,248","1,559","招金期货","1,622","-79","海通期货","1,804","1,115"
"13","东证期货","2,796","2,012","英大期货","1,537","1,045","中信期货","1,592","430"
"14","浙商期货","2,761","2,502","华安期货","1,492","487","国泰君安","1,482","-747"
"15","盛达期货","2,573","2,536","方正中期","1,447","452","东证期货","1,468","239"
"16","中辉期货","2,532","1,868","海通期货","1,359","242","宏源期货","1,196","206"
"17","中信期货","2,368","1,086","上海大陆","1,268","219","南华期货","1,028","116"
"18","鲁证期货","1,972","705","宏源期货","1,210","387","徽商期货","1,000","147"
"19","东航期货","1,965","1,599","华泰期货","1,130","265","大地期货","954","434"
"20","冠通期货","1,928","980","光大期货","1,047","156","中国国际","905","176"
"合计","","75,593","44,750","","47,151","5,738","","58,967","3,672"
"品种：强麦WH     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","弘业期货","10","-2","永安期货","60","3","永安期货","120","0"
"2","中信建投","4","4","新湖期货","11","0","新纪元期货","10","0"
"3","永安期货","3","0","国信期货","7","0","申银万国","7","0"
"4","渤海期货","2","2","申银万国","7","0","弘业期货","2","2"
"5","国都期货","2","2","南华期货","7","0","东证期货","1","0"
"6","美尔雅","1","1","国泰君安","5","0","安粮期货","1","0"
"7","新纪元期货","0","0","海通期货","4","0","华泰期货","0","0"
"8","华泰期货","0","0","神华期货","4","0","招商期货","0","0"
"9","招商期货","0","0","格林大华期货","3","0","格林大华期货","0","0"
"10","格林大华期货","0","0","方正中期","3","0","国信期货","0","0"
"11","国信期货","0","0","中信期货","3","0","华龙期货","0","0"
"12","华龙期货","0","0","东海期货","3","0","方正中期","0","0"
"13","申银万国","0","-2","渤海期货","2","2","渤海期货","0","0"
"14","方正中期","0","0","中粮期货","2","0","中信期货","0","0"
"15","中信期货","0","0","中电投先融","2","0","中粮期货","0","0"
"16","中粮期货","0","0","兴证期货","2","0","海通期货","0","0"
"17","海通期货","0","-1","华泰期货","1","0","创元期货","0","0"
"18","创元期货","0","0","招商期货","1","0","美尔雅","0","0"
"19","东证期货","0","0","弘业期货","1","0","浙商期货","0","0"
"20","浙商期货","0","0","华龙期货","1","0","国都期货","0","0"
"合计","","22","4","","129","5","","141","2"
"品种：动力煤ZC     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","20,140","-2,121","中信期货","23,300","-488","中信期货","20,371","992"
"2","中信期货","10,376","-527","国信期货","16,029","-7","永安期货","14,713","-454"
"3","华泰期货","9,884","-1,188","国金期货","15,643","-43","一德期货","12,396","-1,090"
"4","锦泰期货","7,788","2,283","海证期货","14,991","-32","东证期货","11,807","472"
"5","新湖期货","7,094","-2,596","国投安信期货","13,742","-378","摩根大通","11,007","-198"
"6","光大期货","6,541","1,043","宝城期货","12,462","45","华泰期货","10,696","-21"
"7","中信建投","6,486","866","东证期货","9,195","336","银河期货","10,374","188"
"8","海通期货","6,171","-170","新湖期货","9,150","-72","新湖期货","9,257","8"
"9","国投安信期货","5,736","1,428","国泰君安","7,292","-915","瑞达期货","8,377","-891"
"10","宏源期货","5,301","1,381","一德期货","7,051","-584","方正中期","7,555","-249"
"11","兴证期货","4,677","425","银河期货","6,491","-248","海证期货","7,224","-843"
"12","方正中期","4,459","1,353","兴业期货","6,468","-563","中信建投","6,404","-40"
"13","五矿经易期货","4,365","665","上海中期","6,287","6","兴证期货","5,743","823"
"14","海证期货","4,069","397","光大期货","6,261","-724","宏源期货","5,658","-174"
"15","南华期货","3,937","12","永安期货","6,061","-91","海通期货","5,265","1,133"
"16","浙商期货","3,530","-25","锦泰期货","5,990","198","五矿经易期货","5,081","-43"
"17","永安期货","3,421","-429","中大期货","5,914","74","锦泰期货","4,582","156"
"18","国泰君安","3,309","1,419","宏源期货","5,429","635","徽商期货","4,275","396"
"19","上海中期","3,254","422","华泰期货","5,051","-477","广发期货","4,264","-130"
"20","广发期货","3,233","867","方正中期","4,728","544","国信期货","4,226","230"
"合计","","123,771","5,505","","187,535","-2,784","","169,275","265"
"合约：AP001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","40,104","2,740","华泰期货","2,562","-479","中信期货","5,478","849"
"2","海通期货","21,255","8,819","中信期货","2,416","-788","华泰期货","3,258","60"
"3","中信期货","17,153","3,199","浙商期货","2,348","-324","永安期货","2,652","-196"
"4","华泰期货","16,165","1,240","东证期货","2,242","-719","徽商期货","2,211","193"
"5","东吴期货","14,498","4,993","徽商期货","2,030","42","国泰君安","2,109","336"
"6","徽商期货","13,737","1,888","永安期货","1,825","659","海通期货","1,832","536"
"7","光大期货","11,890","3,267","先锋期货","1,713","-56","东证期货","1,745","-23"
"8","华安期货","11,189","2,945","华安期货","1,709","320","国投安信期货","1,692","-117"
"9","国泰君安","8,294","382","鲁证期货","1,572","-281","东吴期货","1,670","446"
"10","新湖期货","7,632","56","国泰君安","1,348","-378","中粮期货","1,568","7"
"11","方正中期","7,199","2,995","广发期货","1,335","73","银河期货","1,406","-115"
"12","鲁证期货","6,878","3,059","方正中期","1,327","195","方正中期","1,362","-16"
"13","永安期货","6,225","2,662","申银万国","1,303","151","先锋期货","1,281","352"
"14","中信建投","6,049","2,716","宏源期货","1,179","46","华安期货","1,171","-85"
"15","申银万国","5,552","1,509","国投安信期货","1,161","5","宏源期货","1,111","84"
"16","先锋期货","5,416","2,720","国富期货","1,154","-73","弘业期货","1,097","2"
"17","东方财富","5,332","2,064","中粮期货","1,144","-65","安粮期货","1,096","154"
"18","浙商期货","5,061","2,189","兴证期货","1,123","-576","上海大陆","1,091","-76"
"19","银河期货","4,727","-260","长江期货","1,114","-94","南华期货","1,072","152"
"20","安粮期货","4,586","903","光大期货","1,066","331","浙商期货","1,053","9"
"合计","","218,942","50,086","","31,671","-2,011","","35,955","2,552"
"合约：AP005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","7,364","3,482","华泰期货","1,991","115","中信期货","2,275","139"
"2","中信期货","2,318","1,111","中信期货","1,388","281","华泰期货","2,178","86"
"3","海通期货","1,694","719","徽商期货","1,224","-97","鲁证期货","1,310","267"
"4","徽商期货","1,593","725","浙商期货","1,153","-70","徽商期货","1,161","22"
"5","永安期货","1,236","625","国投安信期货","970","176","永安期货","1,040","155"
"6","光大期货","1,050","586","东证期货","895","569","一德期货","952","147"
"7","新湖期货","1,046","415","永安期货","841","623","海通期货","657","194"
"8","东航期货","1,043","629","中州期货","634","411","东证期货","645","327"
"9","华泰期货","1,027","430","鲁证期货","601","-41","首创期货","615","55"
"10","中信建投","844","518","安粮期货","601","72","东吴期货","572","-3"
"11","国投安信期货","812","295","首创期货","583","23","国投安信期货","556","20"
"12","南华期货","794","374","先锋期货","580","82","金元期货","518","19"
"13","鲁证期货","788","175","东吴期货","569","83","混沌天成期货","510","7"
"14","东吴期货","782","374","海通期货","511","16","安粮期货","502","25"
"15","浙商期货","757","301","南华期货","458","310","国海良时","498","84"
"16","宏源期货","754","10","国元期货","429","36","东航期货","493","189"
"17","华西期货","719","459","长江期货","419","160","华安期货","492","102"
"18","华安期货","682","135","新晟期货","411","224","中财期货","462","395"
"19","海证期货","665","514","锦泰期货","407","28","中辉期货","449","144"
"20","申银万国","661","350","光大期货","405","181","宏源期货","404","42"
"合计","","26,629","12,227","","15,070","3,182","","16,289","2,416"
"合约：AP912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","徽商期货","487","146","先锋期货","450","-1","华泰期货","327","-103"
"2","东证期货","486","-17","国富期货","389","-2","中融汇信","307","1"
"3","华西期货","414","112","江苏东华","269","0","德盛期货","273","-31"
"4","建信期货","343","61","光大期货","266","127","海通期货","271","0"
"5","华泰期货","313","-51","东兴期货","219","5","中信期货","246","3"
"6","宏源期货","292","192","中粮期货","213","-1","中粮期货","216","11"
"7","中原期货","285","284","天风期货","202","-3","广发期货","184","-86"
"8","鲁证期货","267","-25","鑫鼎盛期货","200","0","银河期货","175","-1"
"9","国投安信期货","262","76","方正中期","194","3","一德期货","174","-5"
"10","华安期货","250","56","兴证期货","190","-45","永安期货","129","-12"
"11","银河期货","239","-196","东证期货","178","4","华安期货","127","64"
"12","五矿经易期货","216","-241","浙商期货","173","41","东证期货","124","26"
"13","永安期货","209","7","国泰君安","155","-76","鲁证期货","123","-96"
"14","中信期货","189","-3","上海大陆","141","-91","中信建投","114","10"
"15","中信建投","188","-244","中信建投","122","-2","中国国际","110","0"
"16","倍特期货","180","63","中钢期货","112","-21","冠通期货","110","3"
"17","国泰君安","172","73","弘业期货","111","0","中衍期货","108","-12"
"18","广发期货","161","38","永安期货","110","-1","国富期货","105","-2"
"19","东兴期货","156","47","冠通期货","102","0","倍特期货","91","37"
"20","浙商期货","148","-145","华闻期货","102","2","申银万国","88","10"
"合计","","5,257","233","","3,898","-61","","3,402","-183"
"合约：CF001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","66,412","1,361","东证期货","21,258","-1,434","东证期货","37,697","412"
"2","华泰期货","47,672","-1,831","中信期货","17,135","569","国投安信期货","28,690","-4,711"
"3","东证期货","41,116","-1,866","永安期货","14,824","-1,940","永安期货","19,842","525"
"4","新湖期货","37,212","15,411","国泰君安","14,492","-186","长江期货","17,639","63"
"5","华金期货","16,072","1,784","中粮期货","13,632","247","金瑞期货","16,373","-374"
"6","中信期货","15,648","107","海通期货","11,603","495","中粮期货","15,291","409"
"7","光大期货","15,001","1,307","一德期货","11,598","-1,294","国贸期货","14,603","17"
"8","华安期货","11,814","360","中电投先融","11,248","-1,614","中信期货","11,324","651"
"9","国投安信期货","10,994","-4,088","长江期货","10,363","257","兴业期货","10,917","198"
"10","冠通期货","10,912","4,083","金瑞期货","9,193","2","华信期货","10,141","-1,016"
"11","华西期货","10,810","1,666","国投安信期货","8,996","475","建信期货","8,721","-128"
"12","华闻期货","10,649","2,670","光大期货","8,857","1,929","大有期货","8,663","-153"
"13","中辉期货","10,432","516","华泰期货","8,461","124","中国国际","8,427","99"
"14","徽商期货","9,629","-730","鲁证期货","8,162","191","南华期货","7,491","457"
"15","方正中期","9,537","1,111","银河期货","7,623","1,140","华泰期货","6,977","-814"
"16","国泰君安","9,325","369","中国国际","7,061","-57","格林大华期货","5,754","-6"
"17","永安期货","8,745","3,757","方正中期","6,228","179","光大期货","5,675","2,264"
"18","宏源期货","8,338","3,074","国贸期货","5,818","-146","银河期货","4,672","773"
"19","中信建投","8,238","4,045","格林大华期货","4,880","-52","宏源期货","4,665","-61"
"20","东吴期货","8,143","-1,213","宏源期货","4,526","875","国泰君安","4,075","535"
"合计","","366,699","31,893","","205,958","-240","","247,637","-860"
"合约：CF003     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","南华期货","2,552","54","光大期货","5,000","0","光大期货","5,000","0"
"2","中粮期货","2,550","104","中粮期货","4,134","1,003","中粮期货","4,052","985"
"3","国元期货","1,425","822","招商期货","3,101","9","招商期货","3,002","-1"
"4","国海良时","1,203","243","中信期货","2,677","77","华泰期货","2,559","-42"
"5","招商期货","946","361","华泰期货","2,540","-49","中信期货","2,394","-10"
"6","广发期货","735","-183","南华期货","1,708","954","南华期货","1,759","970"
"7","鲁证期货","618","387","大地期货","1,490","-88","大地期货","1,626","-88"
"8","锦泰期货","569","-143","冠通期货","1,245","0","冠通期货","1,245","0"
"9","华安期货","518","504","中原期货","1,003","0","海通期货","1,177","-1"
"10","中信期货","515","181","永安期货","861","-10","中原期货","1,000","0"
"11","银河期货","489","111","鲁证期货","575","0","浙商期货","516","60"
"12","新湖期货","430","160","金瑞期货","553","0","国海良时","501","7"
"13","中信建投","407","172","国海良时","545","-6","鲁证期货","369","0"
"14","浙商期货","263","131","海通期货","506","6","兴业期货","316","0"
"15","国金期货","234","-1","中信建投","429","47","申银万国","301","-36"
"16","大地期货","178","78","浙商期货","391","-11","华安期货","243","90"
"17","海通期货","157","-176","锦泰期货","203","-5","锦泰期货","243","22"
"18","宏源期货","123","-54","东证期货","115","0","东证期货","232","-110"
"19","东证期货","110","99","上海大陆","53","0","国泰君安","222","0"
"20","华泰期货","109","-291","宏源期货","53","33","中信建投","213","2"
"合计","","14,131","2,559","","27,182","1,960","","26,970","1,848"
"合约：CF005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","华泰期货","41,273","-3,681","永安期货","18,602","1,883","东证期货","17,698","303"
"2","国投安信期货","21,331","12,257","鲁证期货","16,366","-259","国投安信期货","16,416","2,817"
"3","海通期货","16,970","-2,316","一德期货","14,946","-1,213","中信期货","14,945","1,161"
"4","华金期货","15,614","1,595","国投安信期货","11,968","820","银河期货","13,690","-115"
"5","先锋期货","12,585","12,179","光大期货","10,329","134","宏源期货","13,492","323"
"6","弘业期货","7,503","4,043","东证期货","9,966","798","中国国际","13,426","355"
"7","永安期货","7,245","509","中信期货","8,202","-536","中粮期货","13,250","99"
"8","中辉期货","7,035","-391","海通期货","7,968","410","华信期货","12,956","525"
"9","东证期货","6,737","486","银河期货","7,265","162","长江期货","11,575","230"
"10","中信期货","5,581","1,801","首创期货","7,226","1,721","信达期货","10,928","-1"
"11","广发期货","5,507","4,269","中粮期货","6,304","1,874","国贸期货","10,389","-10"
"12","东吴期货","4,164","855","兴证期货","5,663","-51","国泰君安","8,874","177"
"13","华安期货","3,955","-1,042","华泰期货","5,430","-317","金瑞期货","8,417","486"
"14","银河期货","3,933","391","广发期货","4,991","2,100","华泰期货","7,595","-130"
"15","新湖期货","3,679","-635","新湖期货","4,292","-2","兴证期货","3,787","357"
"16","首创期货","3,079","364","申银万国","4,154","-50","广发期货","3,610","2,179"
"17","徽商期货","3,077","-33","中国国际","4,069","258","海通期货","3,521","442"
"18","申银万国","3,073","1,018","中电投先融","3,984","1,848","申银万国","3,479","555"
"19","东方财富","2,744","964","浙商期货","3,675","121","永安期货","3,313","442"
"20","光大期货","2,651","982","方正中期","3,174","-48","格林大华期货","3,091","0"
"合计","","177,736","33,615","","158,574","9,653","","194,452","10,195"
"合约：CF009     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","申银万国","635","586","鲁证期货","8,983","1","兴证期货","7,223","-1"
"2","金瑞期货","502","502","一德期货","5,885","1","永安期货","2,668","1"
"3","东证期货","364","60","兴证期货","2,507","-1","海通期货","2,223","100"
"4","冠通期货","362","80","东证期货","1,751","-30","一德期货","2,022","71"
"5","海证期货","332","252","先锋期货","771","35","金瑞期货","1,740","0"
"6","中信期货","302","232","弘业期货","695","-1","弘业期货","1,412","0"
"7","华信期货","220","11","浙商期货","667","2","宏源期货","1,254","4"
"8","东吴期货","190","-193","安粮期货","650","7","中信期货","1,242","301"
"9","方正中期","187","-654","申银万国","603","591","长江期货","856","0"
"10","中辉期货","169","30","宏源期货","544","5","方正中期","850","-129"
"11","先锋期货","149","35","华信期货","531","-158","银河期货","829","1"
"12","华安期货","138","-184","金瑞期货","500","500","新湖期货","602","0"
"13","广发期货","134","95","国投安信期货","478","-8","财达期货","560","0"
"14","海通期货","105","-2,045","中电投先融","424","3","鲁证期货","527","-2"
"15","上海中期","101","97","混沌天成期货","405","0","冠通期货","481","121"
"16","恒泰期货","90","-1","新湖期货","397","49","东证期货","461","190"
"17","新湖期货","89","-229","华安期货","391","4","招金期货","430","0"
"18","平安期货","85","-40","创元期货","367","-16","首创期货","401","0"
"19","五矿经易期货","84","-1","中衍期货","313","0","光大期货","378","2"
"20","永安期货","81","-184","大越期货","280","0","美尔雅","365","1"
"合计","","4,319","-1,551","","27,142","984","","26,524","660"
"合约：CJ001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","14,320","-591","南华期货","2,668","409","永安期货","2,552","-164"
"2","中信期货","10,584","1,639","国泰君安","2,632","62","中信期货","1,914","142"
"3","东证期货","4,632","355","中信期货","2,344","-114","华泰期货","1,391","-147"
"4","光大期货","4,612","616","华泰期货","2,052","-150","东证期货","1,370","-161"
"5","华泰期货","4,139","1,198","中财期货","1,715","-55","国泰君安","1,270","33"
"6","徽商期货","3,954","27","五矿经易期货","1,316","-2","广发期货","1,107","-64"
"7","新湖期货","3,386","784","鲁证期货","1,184","-139","海通期货","1,102","173"
"8","华安期货","3,184","387","一德期货","1,124","290","徽商期货","1,065","-125"
"9","广发期货","3,166","-377","永安期货","1,058","160","光大期货","992","-166"
"10","中信建投","2,333","628","华金期货","1,015","-76","宏源期货","849","-25"
"11","方正中期","2,275","-108","宝城期货","1,014","-19","申银万国","839","59"
"12","银河期货","2,210","73","光大期货","984","44","华安期货","836","-96"
"13","东方财富","2,201","435","兴证期货","881","185","中国国际","791","-87"
"14","东吴期货","2,155","322","海通期货","879","-65","银河期货","744","-115"
"15","永安期货","2,086","-456","广发期货","771","110","安粮期货","718","143"
"16","国泰君安","1,931","-250","中信建投","689","302","国投安信期货","717","-42"
"17","兴证期货","1,805","808","宏源期货","644","-109","东方财富","691","-1"
"18","安粮期货","1,601","178","国投安信期货","625","-44","方正中期","681","-56"
"19","南华期货","1,560","461","方正中期","565","-97","东海期货","646","83"
"20","东航期货","1,539","314","新疆天利","552","39","南华期货","644","-49"
"合计","","73,673","6,443","","24,712","731","","20,919","-665"
"合约：CJ005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","华泰期货","1,241","956","国泰君安","1,765","148","一德期货","786","321"
"2","银河期货","1,027","541","永安期货","1,407","4","永安期货","693","102"
"3","永安期货","738","82","浙江新世纪","1,006","5","国泰君安","636","-218"
"4","东证期货","736","-43","徽商期货","827","38","中粮期货","626","-12"
"5","国泰君安","686","389","五矿经易期货","653","336","创元期货","531","-19"
"6","东海期货","664","181","中信期货","574","38","徽商期货","501","-9"
"7","华安期货","648","278","鲁证期货","505","75","中衍期货","422","2"
"8","徽商期货","615","283","光大期货","412","-159","宏源期货","416","-14"
"9","光大期货","516","93","一德期货","382","-26","中信期货","393","6"
"10","中辉期货","511","388","华闻期货","366","-21","华泰期货","371","13"
"11","五矿经易期货","461","134","新湖期货","361","103","上海大陆","327","18"
"12","一德期货","459","130","宝城期货","354","-3","福能期货","327","220"
"13","广发期货","402","24","宏源期货","350","11","平安期货","327","-6"
"14","上海大陆","345","14","方正中期","323","-58","国海良时","313","25"
"15","国海良时","330","194","招金期货","315","0","国贸期货","311","1"
"16","中银国际","311","280","华泰期货","296","8","东证期货","311","-18"
"17","浙商期货","293","124","海通期货","290","-8","华闻期货","301","1"
"18","福能期货","232","200","广州期货","277","0","华安期货","296","-99"
"19","中信期货","210","-1","中财期货","274","-23","中国国际","271","3"
"20","山西三立","201","154","中衍期货","271","0","海证期货","262","13"
"合计","","10,626","4,401","","11,008","468","","8,421","330"
"合约：CJ912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","广发期货","1,365","-850","国泰君安","433","24","中信期货","336","-16"
"2","海通期货","887","-128","华泰期货","395","-1","国泰君安","292","23"
"3","华泰期货","706","-744","永安期货","368","-64","华安期货","256","-27"
"4","华安期货","612","-135","中信期货","327","-14","方正中期","224","-33"
"5","东证期货","476","-93","中国国际","259","3","徽商期货","205","-35"
"6","永安期货","308","-82","国联期货","250","-2","光大期货","189","-82"
"7","方正中期","303","-80","一德期货","231","-43","中辉期货","184","-16"
"8","东方财富","255","-81","德盛期货","227","24","银河期货","183","-6"
"9","徽商期货","246","-91","广发期货","213","-60","东证期货","177","2"
"10","光大期货","226","-384","东方财富","197","-73","永安期货","175","-60"
"11","中信期货","220","-263","金瑞期货","163","0","华泰期货","171","-35"
"12","东海期货","210","-124","海证期货","160","0","宏源期货","160","-2"
"13","浙商期货","196","-72","招金期货","159","-47","广发期货","151","-57"
"14","华西期货","183","13","银河期货","157","-1","招商期货","147","-12"
"15","国泰君安","163","-159","五矿经易期货","151","-130","东方财富","145","-8"
"16","鲁证期货","157","-70","东证期货","146","-24","东航期货","140","-17"
"17","五矿经易期货","151","-276","建信期货","134","-7","中信建投","137","-36"
"18","英大期货","144","104","光大期货","133","-2","国投安信期货","136","-27"
"19","广州期货","139","84","徽商期货","127","-57","长江期货","136","1"
"20","国元期货","136","109","申银万国","127","-20","平安期货","133","-23"
"合计","","7,083","-3,322","","4,357","-494","","3,677","-466"
"合约：CY001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","3,896","1,086","中粮期货","1,351","103","中粮期货","1,355","102"
"2","上海中期","2,811","592","南华期货","1,037","13","南华期货","1,012","0"
"3","宏源期货","2,689","503","长江期货","766","104","国投安信期货","842","-40"
"4","中粮期货","2,663","528","东证期货","729","-45","东证期货","764","-221"
"5","长江期货","2,501","403","宏源期货","550","141","长江期货","738","107"
"6","中信期货","979","228","国投安信期货","522","-37","宏源期货","625","206"
"7","浙商期货","800","45","上海中期","484","48","海通期货","544","11"
"8","弘业期货","685","47","永安期货","477","0","上海中期","469","47"
"9","瑞达期货","645","73","弘业期货","443","-62","弘业期货","433","-61"
"10","东证期货","634","-142","海通期货","432","3","永安期货","417","0"
"11","五矿经易期货","440","46","浙商期货","422","14","五矿经易期货","405","-5"
"12","国投安信期货","425","48","瑞达期货","406","0","大地期货","356","-33"
"13","方正中期","277","164","五矿经易期货","405","-5","浙商期货","335","-8"
"14","新湖期货","234","-63","大地期货","349","-33","中信期货","325","1"
"15","大地期货","220","60","中信期货","346","0","瑞达期货","302","-9"
"16","南华期货","209","65","国泰君安","111","17","国贸期货","191","20"
"17","申银万国","202","159","兴证期货","82","0","中国国际","133","-3"
"18","华西期货","200","50","广发期货","76","-7","方正中期","77","52"
"19","安粮期货","196","-5","申银万国","61","-75","徽商期货","73","-5"
"20","永安期货","136","-4","银河期货","59","18","新湖期货","63","-16"
"合计","","20,842","3,883","","9,108","197","","9,459","145"
"合约：FG001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","30,554","2,876","永安期货","37,671","237","永安期货","17,728","1,097"
"2","永安期货","18,350","7,719","华泰期货","14,882","-2,810","方正中期","14,355","232"
"3","华泰期货","17,474","10,813","中信期货","10,500","-312","天风期货","13,497","-10"
"4","光大期货","16,015","960","申银万国","8,539","184","银河期货","12,343","-26"
"5","新湖期货","12,986","1,844","国泰君安","8,521","2,729","华泰期货","10,802","-1,230"
"6","弘业期货","12,204","9,621","方正中期","7,760","-1,020","东证期货","6,946","643"
"7","方正中期","10,820","3,453","摩根大通","7,456","-35","广发期货","6,713","-304"
"8","申银万国","8,891","-809","国投安信期货","6,485","639","中信期货","5,115","203"
"9","国泰君安","8,253","4,742","兴证期货","6,256","779","国泰君安","4,841","-644"
"10","建信期货","7,822","4,570","银河期货","5,801","-479","徽商期货","4,592","-750"
"11","兴证期货","7,694","2,842","倍特期货","5,651","-578","东方财富","4,216","-564"
"12","东吴期货","7,214","-2,406","宏源期货","5,539","-332","申银万国","3,914","5"
"13","中信期货","7,191","369","南华期货","4,911","-665","新湖期货","3,899","-820"
"14","徽商期货","7,142","1,037","中金期货","4,397","-119","华安期货","3,671","70"
"15","冠通期货","6,040","3,649","招商期货","4,062","36","东吴期货","3,609","-830"
"16","华安期货","5,997","1,948","新湖期货","3,964","-1,022","中粮期货","3,492","-90"
"17","海通期货","5,867","227","国元期货","3,933","83","建信期货","3,432","2,631"
"18","倍特期货","5,435","5,149","广州期货","3,603","2,280","宏源期货","3,394","523"
"19","华信期货","5,209","-4,522","东航期货","3,365","-143","中信建投","3,177","-208"
"20","广州期货","5,089","3,433","长江期货","3,332","326","浙商期货","3,135","-64"
"合计","","206,247","57,515","","156,628","-222","","132,871","-136"
"合约：FG005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","5,875","1,965","永安期货","10,814","739","银河期货","5,572","900"
"2","光大期货","3,858","1,012","长江期货","7,150","218","宏源期货","3,826","19"
"3","华安期货","3,053","969","华泰期货","5,119","485","建信期货","3,439","534"
"4","方正中期","2,933","-2,521","中粮期货","4,744","881","方正中期","2,356","107"
"5","建信期货","2,772","2,432","方正中期","4,636","224","徽商期货","2,232","-37"
"6","华泰期货","2,433","1,298","海通期货","4,472","41","东证期货","2,143","498"
"7","永安期货","2,234","-488","倍特期货","3,417","304","国泰君安","2,078","-116"
"8","徽商期货","2,095","416","中信期货","2,641","156","国信期货","2,007","47"
"9","中信期货","1,890","438","一德期货","2,199","-149","中信期货","1,672","-68"
"10","宏源期货","1,787","-181","东方财富","2,151","39","华泰期货","1,613","-102"
"11","国泰君安","1,689","904","光大期货","1,984","181","华安期货","1,564","-304"
"12","弘业期货","1,475","729","国泰君安","1,696","-465","国富期货","1,542","-3"
"13","银河期货","1,438","-376","东海期货","1,614","160","广发期货","1,536","321"
"14","安粮期货","1,231","695","申银万国","1,546","226","海通期货","1,442","-15"
"15","中信建投","1,209","292","东证期货","1,079","139","中信建投","1,408","124"
"16","长江期货","1,198","649","混沌天成期货","1,001","0","一德期货","1,387","59"
"17","中粮期货","1,068","993","信达期货","993","-1","永安期货","1,324","9"
"18","东吴期货","960","-199","和合期货","955","3","宝城期货","1,300","125"
