"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"8","弘业期货","685","47","永安期货","477","0","上海中期","471","47"
"9","瑞达期货","645","73","弘业期货","443","-62","弘业期货","433","-61"
"10","东证期货","634","-142","海通期货","433","3","永安期货","417","0"
"11","五矿经易期货","440","46","浙商期货","422","14","五矿经易期货","405","-5"
"12","国投安信期货","425","48","瑞达期货","406","0","大地期货","356","-33"
"13","方正中期","277","164","五矿经易期货","405","-5","浙商期货","335","-8"
"14","新湖期货","234","-63","大地期货","349","-33","中信期货","325","1"
"15","大地期货","220","60","中信期货","347","0","瑞达期货","302","-9"
"16","南华期货","209","65","国泰君安","111","17","国贸期货","191","20"
"17","申银万国","202","159","兴证期货","82","0","中国国际","133","-3"
"18","华西期货","200","50","广发期货","77","-7","方正中期","77","52"
"19","安粮期货","196","-5","申银万国","63","-75","徽商期货","73","-5"
"20","永安期货","136","-4","银河期货","59","18","新湖期货","63","-16"
"合计","","20,842","3,883","","9,115","197","","9,461","145"
"品种：玻璃FG     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","36,919","5,202","永安期货","50,365","970","永安期货","20,782","1,203"
"2","永安期货","20,721","7,355","华泰期货","20,007","-2,323","银河期货","18,288","875"
"3","光大期货","20,257","2,163","中信期货","13,639","-148","方正中期","16,772","65"
"4","华泰期货","20,056","12,226","方正中期","13,290","-572","天风期货","13,569","27"
"5","方正中期","14,727","482","长江期货","10,510","545","华泰期货","12,683","-1,327"
"6","弘业期货","13,985","10,619","国泰君安","10,220","2,262","东证期货","9,414","1,271"
"7","新湖期货","13,438","1,877","申银万国","10,100","411","中信期货","8,695","131"
"8","建信期货","10,594","6,992","倍特期货","9,068","-274","广发期货","8,418","21"
"9","国泰君安","9,956","5,654","中粮期货","8,454","892","宏源期货","7,248","544"
"10","申银万国","9,915","-613","海通期货","8,093","-423","国泰君安","6,956","-754"
"11","徽商期货","9,260","1,460","摩根大通","7,456","-35","建信期货","6,901","3,165"
"12","中信期货","9,111","780","兴证期货","7,309","776","徽商期货","6,883","-788"
"13","华安期货","9,095","2,959","国投安信期货","7,150","709","光大期货","6,839","-54"
